reviewText,overall,trend
purchased trilogy hoping two cat age would interested yr old cat fascinated minute picture came got bored year old watched minute walked away possible wonderful courtyard full greenery tree one neighbor bird feeder enough going outside prefer real life versus taped version likely pas friend cat dont much wildlife watch mine,3,0
usually one cat watching tv staying trouble dvd playing seem like mouse bird maybe go little le stir crazy inside time,5,1
bought triliogy tested dvd appears volume well received three one would recommend funny watch cat watch bc look behind tv trying find bird turn sometimes im leaving house time get home doesnt seem paying attention anymore figured shed least enjoy sound,4,1
female kitty could care le videosbut care le almost everything little male however dig doesnt go ape really watch bit make feel better throw go work leave,4,1
gotten volume two would given five star since got trilogy give three star read review knew vol two best hand extra dollar decided get three combo pack since bird natural source food cat feral natural instantly attracted vol two contrary cartoon cat fisherman thus fish either bowl wild something naturally attracted since gerbil guinea pig native live could little dog far cat could tell rodent also natural food volume one much better volume three also quality could better eye cat could care le video quality see bird lol,3,0
rottie food allergy poultry beef dairy ive difficult time finding toothpaste doesnt make allergic enjoys taste toothpaste peanut flavor smell like black licorice love taste doesnt wiggle much brush teeth every night price ok wish tube came larger size soooo pup allergy doesnt like hisher current toothpaste might want try one,5,1
puppy love stuff tail start wagging soon ask he ready brush teeth actually enjoyable daily experience definitely go dog toothpaste,5,1
toy poodle love stuff let sort brush teeth hoping would help doggy breath interestingly say peanutbutter doesnt smell like peanutbutter,4,1
work great dog doesnt hate taste gum health important brush pearly white,5,1
yes princess enjoying taste showing getting besttop result love strongly recommended without regret,5,1
dog like kibble treat love eat sprinkled top foodhe refuse eat smell super strong even pull away head open jarand even hand fed food still tried play poop granted consumed smaller portion recommended directionoverall may keep dog away poop smell poop smell present food obviously repells themso recommend product unless dog eats everything,2,0
product didnt work dog smell difficult put smelled like christmas candy cane gone wrong put front dry food ive never seen two dog sad eat food life dog usually chow food really fast eventually started mixing bit pumpkin make tolerable end thogh didnt work solution seems keep eye like hawk theyre fenced yard dispose poop within minute hitting ground,1,0
seems better worse product funny thing though actually think bulk msg worked best,3,0
bought product stop problem month old puppy little dog paper trained product smell horrible enough make stomach turn mixed canned food one dog really loved forced tolerate smell continued feed couple week day helped stop problem even though one dog wouldnt eat stopped week still seems working finger crossed really dont want smell feed anymore,4,1
waste moneydoes work shepherd must taste nasty like food much worth try work still eats poopugh,1,0
tried couple product one worked two dog second one started habit taught first dog disgusting suggested others doubled dosage far six month plus working would say time tellmy husband work long hour side yard x many hour door garage though walk morning check side yard deposit leave work using product uncommon u come home dog horrible breath side yard halfeaten pile also dog walker come time week middle day walk pick pile alleviate problem however still ecountered problem rather frequently poor dog really suffered didnt want anywhere near u night smelled disgustingwith product believe habit stopped way least significant degree think twice last six month come home dog dont gross u bad breath anymore everyone much happier itone thing first dog starting get finicky food dont know powder blame supplement also give found work really well liver biscotti sprinkle adding bit top dry dog food really help finishing food second dog food inhaler shes got problem anything give add food,4,1
added twoyear old corgi family august shed living multidog household meaning four dog entire life one dog brother immediately began ingesting feces brother im sure habit living many dog brought stress new home determined stop itwe tried product drs foster smith called distaste worked quite well male dog wasnt terribly thrilled came chew form didnt seem like found sep glad see something mixed food work well distaste seems discourage winter noticed female picking frozen specimen marching around yard doesnt seem eating plan double dose reviewer noted well see thing go spring typically quick cleaning particularly see ground occasionally miss pile im hoping problem winter sep working well maybe feces frozen thing thawing maybe sep discourage stronglyso bottom line seems working fairly well broken habit completely comment smell product smell like pixie stick dust something similarly sweetsour find smell really awful husband two son dont seem mind hold breath get mixed dog food,3,0
work really wellnot time time spend much time outdoors picking dog poop dog tell really working liked well bought replacement first jar ran would recommend,4,1
fed german shepard dachshund still eats poop work work,1,0
save money worth price work dog would recommend,1,0
product work well one used consistently four dog one dog habit,5,1
used whole jar dog still eating poop hard get dog eat food like sep foodits worth trying may trick,1,0
